artist,song,album,label,year,isrc,position,spin_id,playlist_id,show,date,playlist_url
Woodblind,Cold,Big Voice,Woodblind,2016,QZ34Q1600003,20,420862823,21044117,WDSE 1033 The North,"Aug 6, 2025",https://spinitron.com/WDSE/pl/21044117/
Mike Munson,Night Flying Birds,Night Flying Birds,Liatris Records,2025,QMCWP2500002,21,420863102,21044117,WDSE 1033 The North,"Aug 6, 2025",https://spinitron.com/WDSE/pl/21044117/
Lila Downs,Shake Away,Shake Away,Manhattan Records,2008,USMR80800084,22,420863639,21044117,WDSE 1033 The North,"Aug 6, 2025",https://spinitron.com/WDSE/pl/21044117/
Gully Boys,Love Me 2,Love Me 2,Smartpunk Records,2025,QZNWP2551433,23,420863886,21044117,WDSE 1033 The North,"Aug 6, 2025",https://spinitron.com/WDSE/pl/21044117/
Roma di Luna,Ghost Dance,Find Your Way Home,Independent,2007,USTC30706713,24,420864031,21044117,WDSE 1033 The North,"Aug 6, 2025",https://spinitron.com/WDSE/pl/21044117/
Jen West,The Scale,The Scale,Jen West,2025,USDY42588317,25,420864219,21044117,WDSE 1033 The North,"Aug 6, 2025",https://spinitron.com/WDSE/pl/21044117/
Humbird,Eve Boards a Train,Pharmakon,DISTROKID,2019,QZEYD1800003,1,421521735,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Alan Sparhawk,Not Broken,Not Broken,Sub Pop Records,2025,USSUB2468004,2,421522005,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Pert Near Sandstone,20 Cups of Coffee,Paradise Hop,Pert Near Music,2011,USW2Z1100307,3,421522526,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Prince,Starfish And Coffee - 2020 Remaster,Sign O' The Times (Super Deluxe),Warner Rhino Off Roster-Audio,2021,USWB10101488,4,421522748,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Breanne Marie & the Front Porch Sinners,Ida Mae,Ida Mae,Breanne Marie & the Front Porch Sinners,2025,USHM92513799,5,421523095,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Dessa,The Beekeeper,"Castor, The Twin",Doomtree Records,2011,TCAAZ1175637,6,421523443,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Breakneck The Mage,The Days,The Days,Sonic Swings Records,2025,TCAJI2563429,7,421523726,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Erik Koskinen,Sell Out,Burning the Deal,Erik Koskinen / Tone Tree Music,2019,TCAEG1981205,8,421524104,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
jeremy messersmith,The New York Times Crossword Puzzle,The New York Times Crossword Puzzle,jeremy messersmith,2024,QZTAZ2406421,9,421524403,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Ross Thorn,Fitting In,Fitting In,Ross Thorn / Casa De Copas,2025,QZWDD2598117,10,421524729,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Nolen Sellwood,This Time,Otherwise,New Folk Records,2023,USY252200314,11,421525282,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Cloud Cult,One Human Being,Alchemy Creek,DISTROKID,2024,QZRP52433134,12,421525617,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
The Brothers Burn Mountain,And Shadows Fall,25 Years,Diarmada Records,2025,TCAJU2511891,13,421526193,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Mara Lovejoy,Harbinger of Spring,Liminal,6915590 Records DK,2024,QZK6N2405516,14,421526469,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Superior Siren,Swamp Creature,Superior Siren,Superior Siren,2018,TCADL1807154,15,421526873,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Dead Man Winter,Out of Time,Always Now,Dancing Eagle,2024,QMBZ92424118,16,421527060,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
All the Pretty Horses,Lovers,Creature,All the Pretty Horses,2002,USHM20403341,17,421527314,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Rick McLean,Unstuck,Zoom Out & Breathe,904860 Records DK,2025,QZPLS2526761,18,421527569,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Cars & Trucks,Everyone Was There,Cars & Trucks,Chairkickers Union Music,2008,USBXQ0810013,19,421527907,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Night Moves,Ring My Bell,Ring My Bell,Domino Recording Co,2025,GBCEL2400854,20,421528131,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Carroll,Know Your Apples,Carroll,eOne Music,2015,USKO11500947,21,421528305,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Boss Mama & the Jebberhooch,Sleeping With You,Greetings From the Barnyard Lounge,,2024,usdy42457838,22,421528665,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
The Honeydogs,I Don't Wanna Fight,Algebra for Broken Hearts,Jullian Records,2025,QMDJH2451522,23,421529058,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Frank Brownstone & Associates,Lift Me Up,Better Days,Foxberry Records,2008,USBEW0700005,24,421529352,21076556,WDSE 1033 The North,"Aug 13, 2025",https://spinitron.com/WDSE/pl/21076556/
Low,Fly,Quorum / Dancing and Blood / Fly,Sub Pop Records,2018,USSUB1825003,1,422188987,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Marc Gartband,Bedroom Talk,Over the Moon,Marc Gartband,2025,USDY42577004,2,422189401,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Bad Bad Hats,The New Stuff,Bad Bad Hats,Don Giovanni Records,2024,USA2B2319924,3,422189761,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
One Less Guest,Verite,Viewfinder,Telesuse Song,2023,QZK6N2334129,4,422190057,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Jen West,The Scale,The Scale,Jen West,2025,USDY42588317,5,422190410,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Motion City Soundtrack,She Is Afraid,She Is Afraid,Epitaph,2025,USEP42518002,6,422190691,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Soul Asylum,Slowly Rising,The Silver Lining,SME,2021,USSM10600887,7,422190967,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
The Elements,Losers Make Better Youths,Losers Make Better Youths,1265477 Records DK,2020,QZFZ32025196,8,422191471,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
The Latelys,Deep Breath,Waiting for You,DISTROKID,2019,QZHN71909220,9,422191879,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Keith Secola,Wailing Blues,Fingermonkey,Keith Secola,1999,USCGJ0672260,10,422192552,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Chris Castino,Goodbye Fond Du Lac (The Young Pioneer),Fresh Pickles,Calamity Jane Records,2022,QZTAU2124327,11,422192797,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Charlie Parr,Sloth,Little Sun,Smithsonian Folkways Recordings,2024,USSF12326208,12,422193156,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Spider John Koerner,Taking My Time,Stargeezer,Red House Records,1996,USRHR9608416,13,422193417,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Fog,Trying,For Good,Totally Gross National Product,2016,QMECD1604806,14,422193909,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Devata Daun,In My Room,Pye Luis,Pytch Records,2018,QZDA81888861,15,422194183,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Mike Munson,Kansas City Lightning,Kansas City Lightning,Liatris Records,2025,QMCQP2500001,16,422194754,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
The Foxgloves,Forget Me Not,Mama Was a Bandit,The Foxgloves,2022,USDWH2277703,17,422195043,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Cory Chisel,Songbird (feat. Adriel Denae),Tell Me True (feat. Adriel Denae),Refuge Foundation for the Arts,2017,TCADD1793148,18,422195270,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Henry Bullard,Strange Way (Dub),Strange Way (Dub),French River Records,2025,QZNWT2555418,19,422195594,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Mary Bue,Bedding Down with the Deer,Bedding Down with the Deer,Mary Bue,2024,USX9P2454475,20,422196256,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Annie Humphrey,See Her,The Heron Smiled,Makoché Music,2000,USMRC0016810,21,422196487,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
The Gated Community,Weed Smoke and Worry,Goodbye Work,The Gated Community,2025,USHM22568414,22,422196738,21109325,WDSE 1033 The North,"Aug 20, 2025",https://spinitron.com/WDSE/pl/21109325/
Black River Revue,900 Miles,Just Can't Win,Black River Revue Records,2017,TCADG1775672,1,422860859,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Kelley Smith,Tea and Whiskey,Moon Child,Middle Life Records,2022,QZVCS2200004,2,422861386,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Adam Levy,I Wish You Well,Naubinway,Think Piece Publishing LLC,2015,QM6P41522463,3,422861666,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
The Cactus Blossoms,Go On,Every Time I Think About You,Walkie Talkie Records,2024,USA2B2402581,4,422861887,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Gary Louris,By Your Side,Dark Country,SHAM,2025,QMBZ92485847,5,422862351,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Molly Maher and Her Disbelievers,Think for Yourself,Minnesota Beatle Project Vol. 4,Vega Productions,2012,USW2Z1200624,6,422862688,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Sara Thomsen,Precious Water,Somewhere to Begin,Sara Thomsen,2014,USCGH1468699,7,422862896,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Saltydog,Barfly,Pepper,DISTROKID,2024,QZBLV1800049,8,422863285,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Your Smith,Ooh Wee,Bad Habit,Neon Gold Records,2018,QM24S1826556,9,422863881,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Kiss the Tiger,Every Little Piece of Me,Every Little Piece of Me,Kiss the Tiger,2025,QZWDE2558719,10,422864169,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
Willie Wisely,Go!,She (Japanese Remastered Edition),Ella Records,1996,USAYD1400182,11,422864902,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
The Thirsty Giants,Punch Drunk - Live,Southern Minnesota Discomfort: TG Live,TTG,2025,QZNWR2556144,12,422865401,21142383,WDSE 1033 The North,"Aug 27, 2025",https://spinitron.com/WDSE/pl/21142383/
